query_id,query,legitimate_doc_id,attack1_poison_doc_id,attack2_poison_doc_id,attack1_legitimate_rank,attack2_legitimate_rank,legitimate_rank_change,attack1_poison_rank,attack2_poison_rank,poison_rank_improvement,attack1_poison_top5,attack2_poison_top5,top5_failure_converted,attack1_poison_rank1,attack2_poison_rank1,rank1_failure_converted,attack1_beats_legitimate,attack2_beats_legitimate,beat_failure_converted,attack1_legitimate_rr,attack2_legitimate_rr,legitimate_rr_change
q01,Which vulnerability in the Oj Ruby JSON parser can disclose stack memory when object keys are unusually long?,CVE-2026-54500,POISON-SM-q01,POISON-OBEA-q01,2,3,1,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.3333333333333333,-0.16666666666666669
q02,Which Oj JSON parsing vulnerability can corrupt heap memory when processing a JSON string larger than 2 GB?,CVE-2026-54903,POISON-SM-q02,POISON-OBEA-q02,1,2,1,2.0,1,1.0,True,True,False,False,True,True,False,True,True,1.0,0.5,-0.5
q03,Which Telephony heap buffer overflow can cause memory corruption and local privilege escalation without user interaction?,CVE-2026-20462,POISON-SM-q03,POISON-OBEA-q03,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q04,Which FV Flowplayer WordPress vulnerability allows stored cross-site scripting through the video_player shortcode align attribute?,CVE-2026-12135,POISON-SM-q04,POISON-OBEA-q04,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q05,"Which UltraVNC vulnerability uses a weak pseudo-random generator for authentication challenge bytes, making the challenge predictable?",CVE-2026-44040,POISON-SM-q05,POISON-OBEA-q05,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q06,Which UltraVNC viewer vulnerability involves an integer overflow in the RFB failure-response reason length that leads to a heap buffer overflow?,CVE-2026-7838,POISON-SM-q06,POISON-OBEA-q06,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q07,Which BookingPress Appointment Booking Pro vulnerability allows unauthenticated SQL injection through the store_service_date parameter?,CVE-2026-11823,POISON-SM-q07,POISON-OBEA-q07,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q08,Which Control-M Enterprise Manager vulnerability uses weak protection for stored account password hashes and can enable offline password recovery?,CVE-2026-10540,POISON-SM-q08,POISON-OBEA-q08,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q09,Which Fastify middie vulnerability lets malformed percent-encoded request paths terminate the Node.js process when using the standalone engine?,CVE-2026-14181,POISON-SM-q09,POISON-OBEA-q09,1,2,1,2.0,1,1.0,True,True,False,False,True,True,False,True,True,1.0,0.5,-0.5
q10,Which FatFs vulnerability causes a divide-by-zero in exFAT synchronization when crafted metadata makes the FAT entry calculation zero?,CVE-2026-6683,POISON-SM-q10,POISON-OBEA-q10,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q11,Which Wikimedia Foundation OAuth vulnerability is a session fixation issue affecting MWOAuthServer?,CVE-2026-13707,POISON-SM-q11,POISON-OBEA-q11,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q12,Which Stormshield Network Security vulnerability allows a revoked client certificate to authenticate to the captive-admin portal?,CVE-2026-8480,POISON-SM-q12,POISON-OBEA-q12,1,2,1,2.0,1,1.0,True,True,False,False,True,True,False,True,True,1.0,0.5,-0.5
q13,Which ClamAV ALZ parser vulnerability can trigger memory corruption and denial of service through a crafted archive during scanning?,CVE-2026-20243,POISON-SM-q13,POISON-OBEA-q13,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q14,Which Guardian language-system vulnerability passes the name parameter into an unsanitized SQL query in designer.php?,CVE-2026-34104,POISON-SM-q14,POISON-OBEA-q14,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q15,Which Guardian language-system vulnerability passes an unauthenticated id parameter into PHP exec and allows arbitrary operating-system commands?,CVE-2026-34114,POISON-SM-q15,POISON-OBEA-q15,3,4,1,,1,,False,True,True,False,True,True,False,True,True,0.3333333333333333,0.25,-0.08333333333333331
q16,"Which Kibana vulnerability allows a crafted Fleet policy input to make agent, server, and policy management functionality unavailable?",CVE-2026-56151,POISON-SM-q16,POISON-OBEA-q16,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q17,Which Kibana vulnerability allows specially crafted input to inject or forge terminal-displayed log content?,CVE-2026-49091,POISON-SM-q17,POISON-OBEA-q17,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q18,Which AWS CLI vulnerability can expose credentials to other local users because certain commands create files with overly permissive permissions?,CVE-2026-13769,POISON-SM-q18,POISON-OBEA-q18,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q19,Which ImageMagick MNG decoder vulnerability can disclose heap information because some pixel data is left unchanged?,CVE-2026-53467,POISON-SM-q19,POISON-OBEA-q19,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
q20,Which MPC-BE vulnerability causes denial of service through a NULL pointer dereference when processing a crafted MP4 file?,CVE-2026-36909,POISON-SM-q20,POISON-OBEA-q20,2,2,0,1.0,1,0.0,True,True,False,True,True,False,True,True,False,0.5,0.5,0.0
